name,addr_pin,addr_longi,addr_lati
707 S 1st St_3b2b,"707 S 1st St, Champaign, IL 61820",40.1094,-88.23892
101 E Chalmers St_5b4b,"101 E Chalmers St, Champaign, IL 61820",40.10632,-88.23842
31 E John St_4b4b,"31 E John St, Champaign, IL 61820",40.10881,-88.24068
33 E John St_4b4b,"33 E John St, Champaign, IL 61820",40.10893,-88.24101
1004 S 1st St_4b4b,"1004 S 1st St, Champaign, IL 61820",40.10614,-88.23842
609 S State St_3b2b,"609 S State St, Champaign, IL 61820",40.1093,-88.2471
1801 Lynwood Dr_2b1b,"1801 Lynwood Dr, Champaign, IL 61821",40.09417,-88.26028
919 W Harvard St_2b1b,"919 W Harvard St, Champaign, IL 61821",40.12354,-88.25994
1211 N Walnut St_2b1b,"1211 N Walnut St, Champaign, IL 61820",40.12828,-88.24145
1604 Coronado Dr_1b1b,"1604 Coronado Dr, Champaign, IL 61820",40.09755,-88.25311
1711 W John St_2b1b,"1711 W John St, Champaign, IL 61821",40.10874,-88.27602
208 S Prospect Ave_3b1.5b,"208 S Prospect Ave, Champaign, IL 61820",40.11471,-88.2575
1411 Greenbriar Dr_2b1b,"1411 Greenbriar Dr, Champaign, IL 61820",40.13002,-88.24754
16 Colony W Dr_2b1.5b,"16 Colony W Dr, Champaign, IL 61820",40.08505,-88.25646
709 Bethume Ct_4b1b,"709 Bethume Ct, Champaign, IL 61820",40.12836,-88.22772
310 Cedar St_1b1b,"310 Cedar St, Champaign, IL 61820",40.09927,-88.24772
824 W Harvard St_2b1b,"824 W Harvard St, Champaign, IL 61820",40.12425,-88.25717
1902 Nancy Ct_2b1b,"1902 Nancy Ct, Champaign, IL 61822",40.08213,-88.27786
501 W Green St_1b1b,"501 W Green St, Champaign, IL 61820",40.10991,-88.25031
1012 W Eureka St_4b1.5b,"1012 W Eureka St, Champaign, IL 61821",40.12567,-88.26145
826 W Harvard St_2b1b,"826 W Harvard St, Champaign, IL 61820",40.12399,-88.2563
1901 Nancy Ct_2b1.5b,"1901 Nancy Ct, Champaign, IL 61822",40.0818,-88.27807
1901 Nancy Ct_2b1.5b,"1901 Nancy Ct, Champaign, IL 61822",40.0818,-88.27807
1601 Valley Rd_2b1b,"1601 Valley Rd, Champaign, IL 61820",40.09796,-88.24957
1809 Valley Rd_2b1b,"1809 Valley Rd, Champaign, IL 61820",40.09569,-88.24939
1786 Valley Rd_2b1.5b,"1786 Valley Rd, Champaign, IL 61820",40.09594,-88.24928
1815 Valley Rd_2b1b,"1815 Valley Rd, Champaign, IL 61820",40.09563,-88.24939
1703 Valley Rd_2b1b,"1703 Valley Rd, Champaign, IL 61820",40.09687,-88.2494
1616 Valley Rd_2b1.5b,"1616 Valley Rd, Champaign, IL 61820",40.09783,-88.24939
1605 Valley Rd_2b1b,"1605 Valley Rd, Champaign, IL 61820",40.09792,-88.24954
1723 Valley Rd_2b1b,"1723 Valley Rd, Champaign, IL 61820",40.09665,-88.2494
1811 Valley Rd_2b1b,"1811 Valley Rd, Champaign, IL 61820",40.09567,-88.24939
1811 Valley Rd_2b1b,"1811 Valley Rd, Champaign, IL 61820",40.09567,-88.24939
1611 Valley Rd_2b1b,"1611 Valley Rd, Champaign, IL 61820",40.09787,-88.24952
1733 Valley Rd_2b1b,"1733 Valley Rd, Champaign, IL 61820",40.09654,-88.2494
1831 Valley Rd_2b1b,"1831 Valley Rd, Champaign, IL 61820",40.09545,-88.24939
1733 Valley Rd_2b1b,"1733 Valley Rd, Champaign, IL 61820",40.09654,-88.2494
1626 Valley Rd_2b1.5b,"1626 Valley Rd, Champaign, IL 61820",40.09772,-88.24935
1676 Valley Rd_2b1.5b,"1676 Valley Rd, Champaign, IL 61820",40.09716,-88.24929
1603 Valley Rd_2b1b,"1603 Valley Rd, Champaign, IL 61820",40.09794,-88.24956
1823 Valley Rd_2b1b,"1823 Valley Rd, Champaign, IL 61820",40.09554,-88.24939
