"308 1/2 E Clark St, Champaign, IL 61820",308 1/2 E Clark St_8b5b
"2600 W John St, Champaign, IL 61821",2600 W John St_3b2b
"1507 Harrington Dr, Champaign, IL 61821",1507 Harrington Dr_3b2b
"2001 S Mattis Ave, Champaign, IL 61821",2001 S Mattis Ave_2b1b
"1807 Lynwood Dr, Champaign, IL 61821",1807 Lynwood_2b1b
"305 S Prairie St, Champaign, IL 61820",305 S Prairie St_4b2b
"310 W Washington St, Champaign, IL 61820",310 W Washington St_2b1b
"811 Ventura Rd, Champaign, IL 61820",811 Ventura Rd_3b2b
"210 Brookwood Dr, Champaign, IL 61820",210 Brookwood Dr_2b1b
"5 Villard Ct, Champaign, IL 61820",5 Villard Ct_2b1b
"407 W White St, Champaign, IL 61820",407 W White_2b1b
"301 S Garfield Ave, Champaign, IL 61821",301 S Garfield Ave_3b1b
"1212 Centennial Dr, Champaign, IL 61821",1212 Centennial Dr_3b1b
"906 N Willis Ave, Champaign, IL 61821",906 N Willis Ave_3b1b
"303 S 5th St, Champaign, IL 61820",303 S 5th St_4b4b
"314 E Clark St, Champaign, IL 61820",314 E Clark St_3b3b
"1406-1521 Lincolnshire Dr, Champaign, IL 61821",Lincolnshire Townhomes_2b1b
"48 E John St, Champaign, IL 61820",48 E John St_4b2b
"310 E Springfield Ave, Champaign, IL 61820",Burnham310_3b3b
"606 E White St, Champaign, IL 61820",606 E White St_3b3b
"601 S 6th St, Champaign, IL 61820",Campus Center_4b1b
"106 E Armory Ave, Champaign, IL 61820",106 E Armory Ave_4b3b
"51 E Green St, Champaign, IL 61820",51 E Green St_2b1b
"1507-1517 Kirby Ave, Champaign, IL 61821",Champaign House_3b1.5b
"302 E John St, Champaign, IL 61820",The Tower at 3rd_2b1b
"515 Bash Ct, Champaign, IL 61820",UIUC Campustown - 515 Bash_3b1.5b
"707 S 6th St, Champaign, IL 61820",Lando Place_2b1b
"208-210 E White St, Champaign, IL 61820",208-210 E White St_3b1b
"308 E Green St, Champaign, IL 61820",HERE Apartments_4b4b
"414 Nathaniel Burch Dr, Champaign, IL 61820",Douglass Square Apartments_1b1b
"808 S Oak St, Champaign, IL 61820",808 S Oak St_4b2b
"205 S 6th St, Champaign, IL 61820",205 S 6th St_4b2b
"901 S 4th St, Champaign, IL 61820",Midway_3b1b
"401 E Chalmers St, Champaign, IL 61820",Illini Manor_1b1b
"107 E Springfield Ave, Champaign, IL 61820",107 E Springfield Ave_4b2b
"408 E Healey St, Champaign, IL 61820",408 E Healey St_4b2b
"410 E Green St, Champaign, IL 61820",Skylight Court_3b2b
"309 E Green St, Champaign, IL 61820",309 Green_4b2b
"202 E Green St, Champaign, IL 61820",Park Place Tower_4b2.5b
"1107 S 2nd St, Champaign, IL 61820",1107 S 2nd St_4b2b
"316 Cedar St, Champaign, IL 61820",316 Cedar_2b1b
"503 W Springfield Ave, Champaign, IL 61820",503 E Springfield_2b2b
"202 E Chalmers St, Champaign, IL 61820",202 E Chalmers St_4b3b
"52 E Armory Ave, Champaign, IL 61820",Armory Place_4b2b
"57 E Chalmers St, Champaign, IL 61820",57 E Chalmers St_4b2b
"213 W Green St, Champaign, IL 61820",213 W Green St_2b2b
"903-909 S Locust St, Champaign, IL 61820",903-909 S Locust St_4b2b
"309-311 E Daniel St, Champaign, IL 61820",UIUC Campustown - 309 Daniel_4b1b
"505 E Healey St, Champaign, IL 61820",505 E Healey St_5b2b
"616 E Green St, Champaign, IL 61820",Green Street Towers_4b4b
"507 E Clark St, Champaign, IL 61820",507 E Clark St_1b1b
"408 E Stoughton St, Champaign, IL 61820",408 E Stoughton St_2b1b
"201 E Healey St, Champaign, IL 61820",201 E Healey St_4b2b
"312 W Washington St, Champaign, IL 61820",312 W Washington St_2b1b
"105 E Chalmers St, Champaign, IL 61820",Chalmers Manor_2b1b
"314 E White St, Champaign, IL 61820",314 E White St_3b2b
"1117 Plymouth Dr, Champaign, IL 61821",Park Place_2b2b
"59 E John St, Champaign, IL 61820",Loft 59_4b2.5b
"204 S 5th St, Champaign, IL 61820",204 S Fifth_3b2b
"1103 Euclid St, Champaign, IL 61820",1103 Euclid St_5b2b
"107 E Healey St, Champaign, IL 61820",107 E Healey St_1b1b
"105 S Wright St, Champaign, IL 61820",105 S Wright St_4b2b
"105 E John St, Champaign, IL 61820",105 E John St_2b1b
"2502 W Springfield Ave, Champaign, IL 61821",Country Brook Apartments_3b2.5b
"202 E John St, Champaign, IL 61820",202 E John St_6b2b
"407 E University Ave, Champaign, IL 61820",The Avenue Court_1b1b
"408 E Springfield Ave, Champaign, IL 61820",408 Springfield_4b2b
"7 E Columbia Ave, Champaign, IL 61820",The Quarters_2b1b
"54 E John St, Champaign, IL 61820",54 E John St_5b1b
"506-508 W Green St, Champaign, IL 61820",Green Street Apartments_2b1b
"17 E University Ave, Champaign, IL 61820",Inman Place_2b1b
"302 E John St, Champaign, IL 61820",The Suites at Third_4b4b
"203 S 4th St, Champaign, IL 61820",203 S 4th St_4b3b
"501 E University Ave, Champaign, IL 61820",501 E University Ave_3b2b
"1301 N McKinley Ave, Champaign, IL 61821",Providence at Sycamore Hills_3b2b
"212 E White St, Champaign, IL 61820",212 E White St_2b1b
"608 E White St, Champaign, IL 61820",608 E White St_3b1.5b
"608 E Chalmers St, Champaign, IL 61820",608 E Chalmers St_4b1b
"404 E Clark St, Champaign, IL 61820",404 E Clark St_3b1b
"505 S 1st St, Champaign, IL 61820",505 South First_4b2b
"103 E Chalmers St, Champaign, IL 61820",103 E Chalmers St_4b2b
"301 E Chalmers St, Champaign, IL 61820",301 E Chalmers_4b2b
"510 E White St, Champaign, IL 61820",510 E White St_4b2b
"312 E White St, Champaign, IL 61820",312 E White St_3b2b
"308 E Armory Ave, Champaign, IL 61820",308 E Armory Ave_4b2b
"1121 Red Oak Ct, Champaign, IL 61820",Oakwood Trace_3b1.5b
"409 E Chalmers St, Champaign, IL 61820",Illini Tower_4b2b
"509 W Green St, Champaign, IL 61820",Bankier Apartments_4b2b
"615 W Kirby Ave, Champaign, IL 61820",615 W Kirby Ave_4b2b
